id,long,lat,name
194,-0.091773776,51.50462759,"Hop Exchange, The Borough"
195,-0.106237501,51.50724437,"Milroy Walk, South Bank"
196,-0.098497684,51.50368837,"Union Street, The Borough"
197,-0.111606696,51.50556905,"Stamford Street, South Bank"
199,-0.082989638,51.51048489,"Great Tower Street, Monument"
200,-0.066078037,51.51492456,"LMU Commercial Road, Whitechapel"
201,-0.161113413,51.5225965,"Dorset Square, Marylebone"
202,-0.06954201,51.51236389,"Leman Street, Aldgate"
203,-0.100791005,51.51821864,"West Smithfield Rotunda, Farringdon"
204,-0.112432615,51.52659961,"Margery Street, Clerkenwell"
207,-0.153194766,51.50135267,"Grosvenor Crescent, Belgravia"
208,-0.166304359,51.52505151,"Mallory Street, Marylebone"
209,-0.165101392,51.49358391,"Denyer Street, Knightsbridge"
210,-0.151926305,51.51681444,"Hinde Street, Marylebone"
211,-0.158105512,51.49464523,"Cadogan Place, Knightsbridge"
212,-0.199004026,51.50658458,"Campden Hill Road, Notting Hill"
213,-0.149569201,51.50274025,"Wellington Arch, Hyde Park"
214,-0.130504336,51.52683806,"Endsleigh Gardens, Euston"
215,-0.088285377,51.51906932,"Moorfields, Moorgate"
216,-0.181190899,51.49094565,"Old Brompton Road, South Kensington"
217,-0.082422399,51.51615461,"Wormwood Street, Liverpool Street"
218,-0.170194408,51.48971651,"St. Luke's Church, Chelsea"
219,-0.19039362,51.49016361,"Bramham Gardens, Earl's Court"
220,-0.166485083,51.49066456,"Chelsea Green, Chelsea"
221,-0.13045856,51.49481649,"Horseferry Road, Westminster"
222,-0.155349725,51.50275704,"Knightsbridge, Hyde Park"
223,-0.090220911,51.49148474,"Rodney Road , Walworth"
224,-0.188129731,51.51476963,"Whiteley's, Bayswater"
225,-0.196422,51.50935342,"Notting Hill Gate Station, Notting Hill"
227,-0.115480888,51.52891573,"Great Percy Street, Clerkenwell"
228,-0.134621209,51.50742485,"St. James's Square, St. James's"
229,-0.123179697,51.50654321,"Whitehall Place, Strand"
230,-0.103137426,51.50669284,"Poured Lines, Bankside"
231,-0.17873226,51.49396755,"Queen's Gate (Central), South Kensington"
232,-0.112753217,51.51501025,"Carey Street, Holborn"
233,-0.130699733,51.50777049,"Pall Mall East, West End"
234,-0.106992706,51.53450449,"Liverpool Road (N1 Centre), Angel"
235,-0.110889274,51.49571828,"Kennington Road  , Vauxhall"
236,-0.073438925,51.51838043,"Fashion Street, Whitechapel"
237,-0.067176443,51.5084448,"Vaughan Way, Wapping"
238,-0.175116099,51.5233534,"Frampton Street, Paddington"
239,-0.138019439,51.52443845,"Warren Street Station, Euston"
240,-0.10569204,51.50545935,"Colombo Street, Southwark"
242,-0.151359288,51.52200801,"Beaumont Street, Marylebone"
243,-0.139625122,51.49096258,"Gloucester Street, Pimlico"
244,-0.128585022,51.51611887,"Earnshaw Street , Covent Garden"
245,-0.142207481,51.4853572,"Grosvenor Road, Pimlico"
246,-0.099994052,51.52285301,"Berry Street, Clerkenwell"
247,-0.168314,51.530052,"St. John's Wood Church, The Regent's Park"
248,-0.170279555,51.50645179,"Triangle Car Park, Hyde Park"
249,-0.096191134,51.49859784,"Harper Road, The Borough"
250,-0.162727,51.489932,"Royal Avenue 1, Chelsea"
251,-0.079249,51.518908,"Brushfield Street, Liverpool Street"
252,-0.116542278,51.5046364,"Jubilee Gardens, South Bank"
253,-0.086379717,51.53404294,"Shoreditch Park, Hoxton"
254,-0.106408455,51.53051587,"Chadwell Street, Angel"
255,-0.179592915,51.52557531,"Clifton Road, Maida Vale"
256,-0.116764211,51.51362054,"Houghton Street, Strand"
257,-0.154907218,51.52248185,"Westminster University, Marylebone"
258,-0.178656971,51.50143293,"Kensington Gore, Knightsbridge"
260,-0.135580879,51.5136846,"Broadwick Street, Soho"
261,-0.191351186,51.5134891,"Princes Square, Bayswater"
262,-0.103132904,51.49874469,"LSBU (Borough Road), Elephant & Castle"
263,-0.080660083,51.51422502,"St. Mary Axe, Aldgate"
264,-0.109256828,51.52644342,"Tysoe Street, Clerkenwell"
265,-0.169249375,51.51595344,"Southwick Street, Paddington"
266,-0.180246101,51.50102668,"Queen's Gate (North), Kensington"
267,-0.132224622,51.49206037,"Regency Street, Westminster"
268,-0.144132875,51.49320445,"Belgrave Road, Victoria"
269,-0.089740764,51.50082346,"Empire Square, The Borough"
270,-0.122492418,51.4863434,"Kennington Lane Rail Bridge, Vauxhall"
271,-0.156285395,51.53583617,"London Zoo,  The Regent's Park"
272,-0.110699309,51.50144456,"Baylis Road, Waterloo"
273,-0.114686385,51.50613324,"Belvedere Road, South Bank"
274,-0.20528437,51.49671237,"Warwick Road, Olympia"
275,-0.092176447,51.52004497,"Barbican Centre, Barbican"
276,-0.084985356,51.50930161,"Lower Thames Street, Monument"
277,-0.191496313,51.50315739,"Kensington Church Street, Kensington"
278,-0.07962099,51.5034938,"Tooley Street, Bermondsey"
279,-0.176645823,51.51862243,"North Wharf Road, Paddington"
280,-0.162418,51.490083,"Royal Avenue 2, Chelsea"
281,-0.127575233,51.49580589,"Smith Square, Westminster"
284,-0.112031483,51.49914063,"Lambeth North Station, Waterloo"
286,-0.174653609,51.5272947,"St. John's Wood Road, St. John's Wood"
287,-0.128377673,51.52367314,"Bedford Way, Bloomsbury"
288,-0.147478734,51.49236962,"Elizabeth Bridge, Victoria"
289,-0.151296092,51.50923022,"South Audley Street, Mayfair"
290,-0.175488803,51.51678023,"Winsland Street, Paddington"
291,-0.138089062,51.48483991,"Claverton Street, Pimlico"
292,-0.165471605,51.49888404,"Montpelier Street, Knightsbridge"
293,-0.209494128,51.49815779,"Kensington Olympia Station, Olympia"
294,-0.135635511,51.488226,"St. George's Square, Pimlico"
295,-0.092762704,51.50029631,"Swan Street, The Borough"
296,-0.190603326,51.49363156,"Knaresborough Place, Earl's Court"
297,-0.106000855,51.49612799,"Geraldine Street, Elephant & Castle"
298,-0.074189225,51.50227992,"Curlew Street, Shad Thames"
299,-0.136928582,51.49398524,"Vincent Square, Westminster"
300,-0.172729559,51.50501351,"Serpentine Car Park, Hyde Park"
301,-0.148105415,51.51475963,"Marylebone Lane, Marylebone"
302,-0.216573,51.466907,"Putney Pier, Wandsworth"
303,-0.158456089,51.50295379,"Albert Gate, Hyde Park"
304,-0.16209757,51.51211869,"Cumberland Gate, Hyde Park"
305,-0.115853961,51.48677988,"Kennington Lane Tesco, Vauxhall"
306,-0.135025698,51.51816295,"Rathbone Street, Fitzrovia "
307,-0.187842717,51.50990837,"Black Lion Gate, Kensington Gardens"
308,-0.085666316,51.49907558,"Long Lane , Bermondsey"
309,-0.119047563,51.50963123,"Embankment (Savoy), Strand"
310,-0.116911864,51.4908679,"Black Prince Road, Vauxhall"
311,-0.140485596,51.51918144,"Foley Street, Fitzrovia"
312,-0.176770502,51.53088935,"Grove End Road, St. John's Wood"
313,-0.138072691,51.51734403,"Wells Street, Fitzrovia "
314,-0.083159352,51.50088934,"Tyers Gate, Bermondsey"
315,-0.153463612,51.52536703,"The Tennis Courts, The Regent's Park"
316,-0.141943703,51.49768448,"Cardinal Place, Victoria"
317,-0.093913472,51.49679128,"Dickens Square, Borough"
318,-0.138846453,51.51004801,"Sackville Street, Mayfair"
319,-0.088542771,51.52702563,"Baldwin Street, St. Luke's"
320,-0.139956043,51.49357351,"Queen Mother Sports Centre, Victoria"
321,-0.081608045,51.49785559,"Bermondsey Street, Bermondsey"
322,-0.073955,51.526293,"Palissy Street, Shoreditch"
323,-0.083067,51.523196,"Clifton Street, Shoreditch"
324,-0.101384068,51.49652013,"Ontario Street, Elephant & Castle"
325,-0.129697889,51.50908747,"St. Martin's Street, West End"
326,-0.099981142,51.53266186,"Graham Street, Angel"
327,-0.085603,51.53095,"New North Road 1, Hoxton"
328,-0.086016,51.53114,"New North Road 2, Hoxton"
329,-0.160854428,51.53589283,"Prince Albert Road, The Regent's Park"
330,-0.179135079,51.51641749,"Eastbourne Mews, Paddington"
331,-0.089887855,51.52085887,"Bunhill Row, Moorgate"
332,-0.194757949,51.49334336,"Nevern Place, Earl's Court"
333,-0.193764092,51.50860544,"Palace Gardens Terrace, Notting Hill"
334,-0.115851,51.505044,"Concert Hall Approach 1, South Bank"
335,-0.120718759,51.51196803,"Tavistock Street, Covent Garden"
336,-0.115533,51.504942,"Concert Hall Approach 2, South Bank"
337,-0.197524944,51.51108452,"Pembridge Villas, Notting Hill"
338,-0.119643424,51.51175646,"Wellington Street , Strand"
339,-0.111781191,51.5333196,"Risinghill Street, Angel"
340,-0.087587447,51.51444134,"Bank of England Museum, Bank"
341,-0.12602103,51.50810309,"Craven Street, Strand"
343,-0.150181444,51.53692216,"London Zoo Car Park, The Regent's Park"
344,-0.10102611,51.528246,"Goswell Road (City Uni), Finsbury"
345,-0.166878535,51.48802358,"Flood Street, Chelsea"
347,-0.113936001,51.50013942,"Lower Marsh, Waterloo"
348,-0.150481272,51.51217033,"Grosvenor Square, Mayfair"
349,-0.142783033,51.51196,"St. George Street, Mayfair"
350,-0.179854184,51.50171544,"Queen's Gate, Kensington Gardens"
351,-0.097122,51.529423,"Macclesfield Rd, St Lukes"
352,-0.116625,51.486965,"Vauxhall Street, Vauxhall"
353,-0.134234258,51.49459148,"Greycoat Street , Westminster"
354,-0.123702,51.506767,"Northumberland Avenue, Strand"
355,-0.117286,51.486575,"Oval Way, Vauxhall"
356,-0.173881,51.494412,"South Kensington Station, South Kensington"
357,-0.139016,51.520994,"Howland Street, Fitzrovia"
358,-0.124332175,51.51643491,"High Holborn , Covent Garden"
359,-0.135440826,51.49782999,"Butler Place, Westminster"
360,-0.138733562,51.49675303,"Howick Place, Westminster"
361,-0.11342628,51.50391972,"Waterloo Station 2, Waterloo"
362,-0.133952,51.536264,"Royal College Street, Camden Town"
363,-0.171185285,51.5291212,"Lord's, St. John's Wood"
364,-0.132339,51.519656,"Alfred Place, Bloomsbury"
365,-0.100168,51.530344,"City Road, Angel"
366,-0.151126385,51.5109193,"Millennium Hotel, Mayfair"
367,-0.1642075,51.5173721,"Harrowby Street, Marylebone"
368,-0.15934065,51.50024195,"Harriet Street, Knightsbridge"
370,-0.174593,51.520205,"Paddington Green, Paddington"
371,-0.10988,51.49775,"King Edward Walk, Waterloo"
372,-0.117863,51.515208,"Sardinia Street, Holborn"
373,-0.176415994,51.49980661,"Prince Consort Road, Knightsbridge"
374,-0.11386435,51.50402793,"Waterloo Station 1, Waterloo"
375,-0.194392952,51.50194596,"Kensington Town Hall, Kensington"
376,-0.125674815,51.49188409,"Millbank Tower, Pimlico"
377,-0.113656543,51.50535447,"Waterloo Bridge, South Bank"
378,-0.179077626,51.49559291,"Natural History Museum, South Kensington"
379,-0.200838199,51.51431171,"Turquoise Island, Notting Hill"
380,-0.150666888,51.50686435,"Stanhope Gate, Mayfair"
381,-0.13577731,51.51953043,"Charlotte Street, Fitzrovia"
382,-0.14744969,51.50935171,"Farm Street, Mayfair"
383,-0.13121385,51.51310333,"Frith Street, Soho"
384,-0.192404,51.496481,"Marloes Road, Kensington"
386,-0.130110822,51.51352755,"Moor Street, Soho"
387,-0.121394101,51.49369988,"Fire Brigade Pier, Vauxhall"
388,-0.121723604,51.51070161,"Southampton Street, Strand"
389,-0.155757901,51.51013066,"Upper Grosvenor Street, Mayfair"
390,-0.068856,51.521776,"Buxton Street 1, Shoreditch"
391,-0.142345694,51.51066202,"Clifford Street, Mayfair"
392,-0.179702476,51.49942855,"Imperial College, Knightsbridge"
393,-0.103604248,51.51733427,"Snow Hill, Farringdon"
394,-0.176268,51.524826,"Aberdeen Place, St. John's Wood"
395,-0.159919,51.492462,"Cadogan Gardens, Chelsea"
396,-0.163609,51.51809,"Shouldham Street, Marylebone"
397,-0.17977,51.51348,"Devonshire Terrace, Bayswater"
398,-0.200742,51.502319,"Holland Park, Kensington"
399,-0.071653961,51.52261762,"Brick Lane Market, Shoreditch"
400,-0.154106,51.517703,"George Street, Marylebone"
401,-0.075375,51.528187,"Columbia Road, Shoreditch"
402,-0.171681991,51.52289229,"Penfold Street, Marylebone"
403,-0.158249929,51.51689296,"George Place Mews, Marylebone"
404,-0.184400221,51.50204238,"Palace Gate, Kensington Gardens"
405,-0.18267094,51.49418566,"Gloucester Road Station, South Kensington"
406,-0.160785,51.51222,"Speakers' Corner 2, Hyde Park"
407,-0.159988,51.512303,"Speakers' Corner 1, Hyde Park"
408,-0.170704337,51.51994326,"Paddington Green Police Station, Paddington"
409,-0.099828,51.493146,"Strata, Elephant & Castle"
410,-0.169774,51.519968,"Edgware Road Station, Marylebone"
411,-0.09968067,51.49337264,"Walworth Road, Elephant & Castle"
412,-0.110121,51.488105,"Cleaver Street, Kennington"
419,-0.149004,51.485821,"Chelsea Bridge, Pimlico"
420,-0.105312,51.504043,"Southwark Station 1, Southwark"
421,-0.104778,51.504044,"Southwark Station 2, Southwark"
423,-0.15393398,51.49456127,"Eaton Square (South), Belgravia"
424,-0.149186,51.490491,"Ebury Bridge, Pimlico"
425,-0.139159,51.533379,"Harrington Square 2, Camden Town"
426,-0.129925,51.493072,"Vincent Street, Pimlico"
427,-0.09294031,51.51397065,"Cheapside, Bank"
428,-0.174554,51.499917,"Exhibition Road, Knightsbridge"
430,-0.17524,51.48902,"South Parade, Chelsea"
431,-0.122203,51.534474,"Crinan Street, King's Cross"
432,-0.173894,51.496957,"Exhibition Road Museums, South Kensington"
433,-0.116279,51.524564,"Wren Street, Holborn"
435,-0.105593,51.488852,"Kennington Station, Kennington"
436,-0.11655,51.51824,"Red Lion Street, Holborn"
437,-0.120903,51.488124,"Vauxhall Walk, Vauxhall"
439,-0.118677,51.5338,"Killick Street, King's Cross"
